,C,GAMMA,TrainingError,TestError
0,0.1145475372279496,0.1,0.07224770642201839,0.394
1,0.1145475372279496,0.5,0.0034403669724770714,0.10399999999999998
2,0.1145475372279496,1.0,0.0011467889908256534,0.026000000000000023
3,0.1145475372279496,5.0,0.0034403669724770714,0.0040000000000000036
4,0.1145475372279496,100.0,0.013761467889908285,0.008000000000000007
5,0.572737686139748,0.1,0.0,0.21399999999999997
6,0.572737686139748,0.5,0.0,0.014000000000000012
7,0.572737686139748,1.0,0.0,0.0040000000000000036
8,0.572737686139748,5.0,0.0,0.0
9,0.572737686139748,100.0,0.008027522935779796,0.006000000000000005
10,0.8018327605956472,0.1,0.0,0.18200000000000005
11,0.8018327605956472,0.5,0.0,0.010000000000000009
12,0.8018327605956472,1.0,0.0,0.0040000000000000036
13,0.8018327605956472,5.0,0.0,0.0
14,0.8018327605956472,100.0,0.008027522935779796,0.006000000000000005
